               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 128,            0.028531,            0.031366,           0.0074444,              0.8741,             0.85593,               0.907,             0.58907,            0.026729,            0.017446,           0.0023354,           0.0037135,           0.0037135,           0.0037135
                 129,             0.02883,            0.031616,           0.0075966,             0.87743,             0.85452,             0.90865,             0.59239,            0.026682,            0.017413,           0.0023866,            0.003664,            0.003664,            0.003664
                 130,            0.028642,            0.031302,           0.0076925,             0.88125,             0.85384,              0.9087,             0.59265,            0.026647,            0.017394,           0.0023751,           0.0036145,           0.0036145,           0.0036145
                 131,            0.028451,            0.031403,           0.0073028,             0.88077,             0.85811,             0.90984,             0.59343,            0.026592,            0.017345,           0.0023242,            0.003565,            0.003565,            0.003565
                 132,            0.028213,            0.031259,           0.0069795,             0.87796,             0.86085,             0.91059,             0.59467,            0.026548,            0.017308,           0.0022856,           0.0035155,           0.0035155,           0.0035155
                 133,            0.028404,            0.031299,           0.0074789,             0.87354,             0.86656,             0.91219,             0.59701,            0.026515,            0.017266,           0.0022584,            0.003466,            0.003466,            0.003466
                 134,            0.028607,            0.031188,           0.0075752,             0.87694,             0.86798,              0.9135,             0.59755,            0.026464,            0.017257,           0.0022661,           0.0034165,           0.0034165,           0.0034165
                 135,            0.028437,            0.030994,           0.0071246,             0.88081,             0.86503,              0.9144,             0.59844,            0.026443,            0.017257,           0.0022471,            0.003367,            0.003367,            0.003367
                 136,             0.02831,            0.031228,           0.0067716,             0.88385,             0.86325,             0.91478,               0.598,            0.026433,            0.017229,           0.0022475,           0.0033175,           0.0033175,           0.0033175
                 137,            0.028048,            0.030284,           0.0070063,             0.88461,             0.86581,             0.91489,             0.59841,            0.026406,             0.01721,           0.0022316,            0.003268,            0.003268,            0.003268
                 138,            0.028216,            0.030594,           0.0065099,             0.87873,              0.8706,             0.91652,             0.59991,            0.026432,            0.017183,           0.0022261,           0.0032185,           0.0032185,           0.0032185
                 139,             0.02794,            0.030663,           0.0064607,             0.87238,             0.87818,             0.91738,             0.60069,            0.026408,            0.017171,           0.0022036,            0.003169,            0.003169,            0.003169
                 140,            0.028065,             0.03043,           0.0067347,             0.88158,             0.87147,             0.91803,             0.60156,            0.026401,            0.017148,           0.0021799,           0.0031195,           0.0031195,           0.0031195
                 141,            0.027942,            0.030761,           0.0067584,             0.89101,              0.8645,             0.91771,             0.60183,            0.026387,            0.017147,           0.0021753,             0.00307,             0.00307,             0.00307
                 142,            0.027875,            0.030484,            0.006616,              0.8942,             0.86197,             0.91792,             0.60146,             0.02636,            0.017125,           0.0021742,           0.0030205,           0.0030205,           0.0030205
                 143,            0.027722,            0.030695,           0.0064992,             0.89056,             0.86448,             0.91799,             0.60165,             0.02633,            0.017115,           0.0021556,            0.002971,            0.002971,            0.002971
                 144,            0.027476,            0.030447,           0.0065722,              0.8922,              0.8661,             0.91877,             0.60265,            0.026314,            0.017109,           0.0021163,           0.0029215,           0.0029215,           0.0029215
                 145,            0.027605,            0.030053,            0.006135,             0.89047,             0.87026,             0.92018,             0.60389,            0.026285,            0.017081,           0.0021048,            0.002872,            0.002872,            0.002872
                 146,            0.027474,            0.030003,           0.0064633,             0.89036,             0.87116,             0.92048,             0.60518,             0.02625,            0.017058,           0.0020995,           0.0028225,           0.0028225,           0.0028225
                 147,            0.027169,            0.030182,           0.0061462,             0.89229,             0.86863,             0.92017,             0.60604,            0.026221,            0.017034,           0.0021144,            0.002773,            0.002773,            0.002773
                 148,            0.027514,            0.030694,           0.0066834,              0.8943,             0.86464,             0.92039,              0.6075,            0.026183,            0.017016,           0.0021079,           0.0027235,           0.0027235,           0.0027235
                 149,            0.027078,             0.02965,           0.0059937,             0.88909,             0.87444,             0.92166,             0.60857,            0.026157,            0.017006,           0.0020892,            0.002674,            0.002674,            0.002674
                 150,            0.027267,            0.029648,           0.0058626,              0.8906,             0.87508,              0.9232,             0.60948,             0.02613,            0.016992,           0.0020787,           0.0026245,           0.0026245,           0.0026245
                 151,            0.026929,            0.029801,           0.0060035,             0.89264,             0.87074,             0.92317,             0.61025,            0.026107,            0.016974,           0.0020664,            0.002575,            0.002575,            0.002575
                 152,            0.027343,            0.029853,           0.0060258,             0.88846,             0.87341,             0.92346,             0.61057,            0.026099,            0.016977,           0.0020598,           0.0025255,           0.0025255,           0.0025255
                 153,            0.026873,            0.029359,           0.0060564,             0.89733,             0.86803,             0.92379,             0.61113,            0.026069,            0.016971,           0.0020507,            0.002476,            0.002476,            0.002476
                 154,            0.026866,             0.02975,           0.0060194,             0.89622,             0.86889,             0.92402,             0.61326,            0.026057,            0.016953,           0.0020464,           0.0024265,           0.0024265,           0.0024265
                 155,            0.026918,            0.029712,           0.0056034,             0.89611,             0.86988,             0.92473,             0.61395,            0.026035,            0.016949,           0.0020383,            0.002377,            0.002377,            0.002377
